SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,Golden,490,Kindergarten,Performance Plan,8th Grade,Performance Plan
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,Golden,491,Kindergarten,Performance Plan,8th Grade,Performance Plan
BRIDGES,Carbondale,492,9th Grade,Improvement Plan,12th Grade,Improvement Plan
PRAIRIE VIEW HIGH SCHOOL,Henderson,493,9th Grade,Improvement Plan,12th Grade,Improvement Plan
LAS ANIMAS HIGH SCHOOL,Las Animas,494,9th Grade,Improvement Plan,12th Grade,Improvement Plan
THORNTON HIGH SCHOOL,Thornton,495,9th Grade,Improvement Plan,12th Grade,Improvement Plan
COLORADO SPRINGS CHARTER ACADEMY,Colorado Springs,496,Kindergarten,Performance Plan,8th Grade,Performance Plan
COLORADO SPRINGS CHARTER ACADEMY,Colorado Springs,497,Kindergarten,Performance Plan,8th Grade,Performance Plan
GYPSUM ELEMENTARY SCHOOL,Gypsum,498,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,Littleton,499,Kindergarten,Performance Plan,5th Grade,Performance Plan
BURLINGTON HIGH SCHOOL,Burlington,500,9th Grade,Improvement Plan,12th Grade,Improvement Plan
HARRISON HIGH SCHOOL,Colorado Springs,501,9th Grade,Improvement Plan,12th Grade,Improvement Plan
MOFFAT SENIOR HIGH SCHOOL,Moffat,502,9th Grade,Improvement Plan,12th Grade,Improvement Plan
LOUISVILLE MIDDLE SCHOOL,Louisville,503,6th Grade,Performance Plan,8th Grade,Performance Plan
ASPEN CROSSING ELEMENTARY SCHOOL,Centennial,504,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GREENWOOD ELEMENTARY SCHOOL,Greenwood Village,505,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CEDAREDGE MIDDLE SCHOOL,Cedaredge,506,6th Grade,Performance Plan,8th Grade,Performance Plan
MANUAL HIGH SCHOOL,Denver,507,9th Grade,Improvement Plan,11th Grade,Improvement Plan
WILDCAT MOUNTAIN ELEMENTARY SCHOOL,Littleton,508,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HACKBERRY HILL ELEMENTARY SCHOOL,Arvada,509,Kindergarten,Performance Plan,6th Grade,Performance Plan
PECK ELEMENTARY SCHOOL,Arvada,510,Kindergarten,Performance Plan,6th Grade,Performance Plan
KIM UNDIVIDED HIGH SCHOOL,Kim,511,7th Grade,Performance Plan,12th Grade,Performance Plan
UPPER BLUE ELEMENTARY SCHOOL,Breckenridge,512,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CROWLEY COUNTY HIGH SCHOOL,Ordway,513,9th Grade,Improvement Plan,12th Grade,Improvement Plan
PRITCHETT HIGH SCHOOL,Pritchett,514,9th Grade,Improvement Plan,12th Grade,Improvement Plan
HIGHLAND HIGH SCHOOL,Ault,515,9th Grade,Improvement Plan,12th Grade,Improvement Plan
MITCHELL HIGH SCHOOL,Colorado Springs,516,9th Grade,Improvement Plan,12th Grade,Improvement Plan
NORTHGLENN HIGH SCHOOL,Northglenn,517,9th Grade,Improvement Plan,12th Grade,Improvement Plan
NUCLA JUNIOR/SENIOR HIGH SCHOOL,Nucla,518,7th Grade,Improvement Plan,12th Grade,Improvement Plan
ARVADA HIGH SCHOOL,Arvada,519,9th Grade,Improvement Plan,12th Grade,Improvement Plan
GENOA-HUGO SENIOR HIGH SCHOOL,Hugo,520,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SALIDA HIGH SCHOOL,Salida,521,9th Grade,Improvement Plan,12th Grade,Improvement Plan
WALDEN ELEMENTARY SCHOOL,Walden,522,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CHINOOK TRAIL ELEMENTARY SCHOOL,Colorado Springs,523,Kindergarten,Performance Plan,8th Grade,Performance Plan
DISCOVERY CANYON CAMPUS SCHOOL,Colorado Springs,524,Pre-Kindergarten,Performance Plan,11th Grade,Performance Plan
ASPEN MIDDLE SCHOOL,Aspen,525,5th Grade,Performance Plan,8th Grade,Performance Plan
MIDLAND ELEMENTARY SCHOOL,Colorado Springs,526,Kindergarten,Performance Plan,5th Grade,Performance Plan
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,Parker,527,Kindergarten,Performance Plan,8th Grade,Performance Plan
CLEAR SKY ELEMENTARY,Castle Rock,528,Kindergarten,Performance Plan,6th Grade,Performance Plan
GREELEY WEST HIGH SCHOOL,Greeley,529,9th Grade,Improvement Plan,12th Grade,Improvement Plan
LITTLETON PREP CHARTER SCHOOL,Littleton,530,Kindergarten,Performance Plan,8th Grade,Performance Plan
EDITH TETER ELEMENTARY SCHOOL,Fairplay,531,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LONE STAR UNDIVIDED HIGH SCHOOL,Otis,532,9th Grade,Improvement Plan,12th Grade,Improvement Plan
HI PLAINS UNDIVIDED HIGH SCHOOL,Seibert,533,7th Grade,Improvement Plan,12th Grade,Improvement Plan
WELD CENTRAL SENIOR HIGH SCHOOL,Keenesburg,534,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SHERIDAN HIGH SCHOOL,Denver,535,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
ALAMOSA HIGH SCHOOL,Alamosa,536,9th Grade,Improvement Plan,12th Grade,Improvement Plan
BRANSON SCHOOL ONLINE,Branson,537,Kindergarten,Improvement Plan,12th Grade,Improvement Plan
BRUCE RANDOLPH SCHOOL,Denver,538,6th Grade,Improvement Plan,12th Grade,Improvement Plan
RANGEVIEW HIGH SCHOOL,Aurora,539,9th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
ASBURY ELEMENTARY SCHOOL,Denver,540,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
COUGAR RUN ELEMENTARY SCHOOL,Highlands Ranch,541,Kindergarten,Performance Plan,6th Grade,Performance Plan
SIERRA ELEMENTARY SCHOOL,Arvada,542,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
OVERLAND HIGH SCHOOL,Aurora,543,9th Grade,Improvement Plan,12th Grade,Improvement Plan
WASSON HIGH SCHOOL,Colorado Springs,544,9th Grade,Improvement Plan,12th Grade,Improvement Plan
CENTRAL HIGH SCHOOL,Grand Junction,545,9th Grade,Improvement Plan,12th Grade,Improvement Plan
GUNNISON MIDDLE SCHOOL,Gunnison,546,6th Grade,Performance Plan,8th Grade,Performance Plan
WESTRIDGE ELEMENTARY SCHOOL,Littleton,547,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CANON CITY HIGH SCHOOL,Canon City,548,9th Grade,Improvement Plan,12th Grade,Improvement Plan
HIGHLINE ACADEMY CHARTER SCHOOL,Denver,549,Kindergarten,Performance Plan,8th Grade,Performance Plan
HIGHLINE ACADEMY CHARTER SCHOOL,Denver,550,Kindergarten,Performance Plan,8th Grade,Performance Plan
GREELEY CENTRAL HIGH SCHOOL,Greeley,551,9th Grade,Improvement Plan,12th Grade,Improvement Plan
BOOKCLIFF MIDDLE SCHOOL,Grand Junction,552,6th Grade,Performance Plan,8th Grade,Performance Plan
MOFFAT COUNTY HIGH SCHOOL,Craig,553,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SIERRA HIGH SCHOOL,Colorado Springs,554,9th Grade,Improvement Plan,12th Grade,Improvement Plan
EDITH WOLFORD ELEMENTARY SCHOOL,Colorado Springs,555,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,Cotopaxi,556,6th Grade,Performance Plan,12th Grade,Performance Plan
BENJAMIN EATON ELEMENTARY SCHOOL,Eaton,557,3rd Grade,Performance Plan,5th Grade,Performance Plan
ELIZABETH MIDDLE SCHOOL,Elizabeth,558,6th Grade,Performance Plan,8th Grade,Performance Plan
MOUNT CARBON ELEMENTARY SCHOOL,Littleton,559,Kindergarten,Performance Plan,6th Grade,Performance Plan
KIT CARSON ELEMENTARY SCHOOL,Kit Carson,560,Kindergarten,Performance Plan,5th Grade,Performance Plan
SKYVIEW ACADEMY HIGH SCHOOL,Thornton,561,9th Grade,Improvement Plan,12th Grade,Improvement Plan
PIKES PEAK PREP,Colorado Springs,562,Kindergarten,Improvement Plan,12th Grade,Improvement Plan
LAMAR HIGH SCHOOL,Lamar,563,9th Grade,Improvement Plan,12th Grade,Improvement Plan
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,Thornton,564,7th Grade,Improvement Plan,12th Grade,Improvement Plan
ROOSEVELT HIGH SCHOOL,Johnstown,565,9th Grade,Improvement Plan,12th Grade,Improvement Plan
VALLEY HIGH SCHOOL,Gilcrest,566,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SOUTH HIGH SCHOOL,Denver,567,9th Grade,Improvement Plan,12th Grade,Improvement Plan
WILMOT ELEMENTARY SCHOOL,Evergreen,568,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ABRAHAM LINCOLN HIGH SCHOOL,Denver,569,9th Grade,Improvement Plan,12th Grade,Improvement Plan
MORTENSEN ELEMENTARY SCHOOL,Littleton,570,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SHEPARDSON ELEMENTARY SCHOOL,Fort Collins,571,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MONTEZUMA-CORTEZ HIGH SCHOOL,Cortez,572,9th Grade,Improvement Plan,12th Grade,Improvement Plan
FRONTIER ELEMENTARY SCHOOL,Colorado Springs,573,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HUNTERS GLEN ELEMENTARY SCHOOL,Thornton,574,Kindergarten,Performance Plan,5th Grade,Performance Plan
ENGLEWOOD HIGH SCHOOL,Englewood,575,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
WILLIAM SMITH HIGH SCHOOL,Aurora,576,9th Grade,Improvement Plan,12th Grade,Improvement Plan
DALTON ELEMENTARY SCHOOL,Aurora,577,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LOUISVILLE ELEMENTARY SCHOOL,Louisville,578,Kindergarten,Performance Plan,5th Grade,Performance Plan
HALLETT FUNDAMENTAL ACADEMY,Denver,579,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
MAMMOTH HEIGHTS ELEMENTARY,Parker,580,Kindergarten,Performance Plan,6th Grade,Performance Plan
NORTHRIDGE HIGH SCHOOL,Greeley,581,9th Grade,Improvement Plan,12th Grade,Improvement Plan
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,Rocky Ford,582,9th Grade,Improvement Plan,12th Grade,Improvement Plan
SMITH HIGH SCHOOL,Sterling,583,9th Grade,Improvement Plan,12th Grade,Improvement Plan
DE BEQUE UNDIVIDED HIGH SCHOOL,De Beque,584,7th Grade,Improvement Plan,12th Grade,Improvement Plan
HINKLEY HIGH SCHOOL,Aurora,585,9th Grade,Improvement Plan,12th Grade,Improvement Plan
ASPEN COMMUNITY CHARTER SCHOOL,Woody Creek,586,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HORIZONS K-8 SCHOOL,Boulder,587,Kindergarten,Performance Plan,8th Grade,Performance Plan
INDIAN RIDGE ELEMENTARY SCHOOL,Aurora,588,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ARROWWOOD ELEMENTARY SCHOOL,Highlands Ranch,589,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
STONY CREEK ELEMENTARY SCHOOL,Littleton,590,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
BASALT MIDDLE SCHOOL,Basalt,591,5th Grade,Performance Plan,8th Grade,Performance Plan
BASALT MIDDLE SCHOOL,Basalt,592,5th Grade,Performance Plan,8th Grade,Performance Plan
BERTHOUD ELEMENTARY SCHOOL,Berthoud,593,Kindergarten,Performance Plan,5th Grade,Performance Plan
EAST HIGH SCHOOL,Pueblo,594,9th Grade,Improvement Plan,12th Grade,Improvement Plan
GATEWAY HIGH SCHOOL,Aurora,595,9th Grade,Improvement Plan,12th Grade,Improvement Plan
MONTE VISTA ON-LINE ACADEMY,Monte Vista,596,6th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,Manzanola,597,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
COLORADO VIRTUAL ACADEMY (COVA),Northglenn,598,Kindergarten,Turnaround Plan,12th Grade,Priority Improvement Plan
RANGELY JUNIOR/SENIOR HIGH SCHOOL,Rangely,599,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
RIDGE VIEW ACADEMY CHARTER SCHOOL,Watkins,600,9th Grade,Alternative Ed. Campus,12th Grade,Performance Plan
ONLINE HIGH SCHOOL,Denver,601,9th Grade,Priority Improvement Plan,12th Grade,Turnaround Plan
OAK CREEK ELEMENTARY SCHOOL,Colorado Springs,602,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SILVERHEELS MIDDLE SCHOOL,Fairplay,603,6th Grade,Performance Plan,8th Grade,Performance Plan
PUEBLO COUNTY HIGH SCHOOL,Pueblo,604,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
PEAK TO PEAK CHARTER SCHOOL,Lafayette,605,Kindergarten,Performance Plan,12th Grade,Performance Plan
YOUTH & FAMILY ACADEMY CHARTER,Pueblo,606,7th Grade,Alternative Ed. Campus,12th Grade,Priority Improvement Plan
FALCON CREEK MIDDLE SCHOOL,Aurora,607,6th Grade,Performance Plan,8th Grade,Performance Plan
COMMUNITY PREP CHARTER SCHOOL,Colorado Springs,608,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
LEGACY ACADEMY,Elizabeth,609,Kindergarten,Performance Plan,8th Grade,Performance Plan
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,Colorado Springs,610,Kindergarten,Performance Plan,7th Grade,Performance Plan
POWDERHORN ELEMENTARY SCHOOL,Littleton,611,Kindergarten,Performance Plan,6th Grade,Performance Plan
O'DEA ELEMENTARY SCHOOL,Fort Collins,612,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CEDAR RIDGE ELEMENTARY SCHOOL,Pueblo West,613,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FORT MORGAN HIGH SCHOOL,Fort Morgan,614,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
JEFFERSON COUNTY OPEN SECONDARY,Lakewood,615,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
GLOBAL LEADERSHIP ACADEMY,Denver,616,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
IGNACIO HIGH SCHOOL,Ignacio,617,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
WEST HIGH SCHOOL,Denver,618,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
RED HAWK RIDGE ELEMENTARY SCHOOL,Centennial,619,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
AVON ELEMENTARY SCHOOL,Avon,620,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MOUNTAIN VALLEY SENIOR HIGH SCHOOL,Saguache,621,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
PLATEAU VALLEY ELEMENTARY SCHOOL,Collbran,622,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JEFFERSON HIGH SCHOOL,Edgewater,623,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
ESCUELA TLATELOLCO SCHOOL,Denver,624,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,Englewood,625,9th Grade,Alternative Ed. Campus,12th Grade,Performance Plan
ROCKY HEIGHTS MIDDLE SCHOOL,Littleton,626,6th Grade,Performance Plan,8th Grade,Performance Plan
JUNE CREEK ELEMENTARY SCHOOL,Edwards,627,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RIFFENBURGH ELEMENTARY SCHOOL,Fort Collins,628,Kindergarten,Performance Plan,5th Grade,Performance Plan
JOHN MALL JUNIOR-SENIOR HIGH SCHOOL,Walsenburg,629,8th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
ALAMEDA HIGH SCHOOL,Lakewood,630,9th Grade,Turnaround Plan,12th Grade,Turnaround Plan
ACADEMIA ANA MARIE SANDOVAL,Denver,631,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,Denver,632,8th Grade,Alternative Ed. Campus,10th Grade,Performance Plan
OTIS ELEMENTARY SCHOOL,Otis,633,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
KARVAL ONLINE EDUCATION,Karval,634,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,Aguilar,635,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
CARSON ELEMENTARY SCHOOL,Denver,636,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MONTBELLO HIGH SCHOOL,Denver,637,9th Grade,Priority Improvement Plan,12th Grade,Turnaround Plan
EXCEL ACADEMY CHARTER SCHOOL,Arvada,638,Kindergarten,Performance Plan,12th Grade,Performance Plan
EXCEL ACADEMY CHARTER SCHOOL,Arvada,639,Kindergarten,Performance Plan,12th Grade,Performance Plan
NORTH HIGH SCHOOL,Denver,640,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
LINCOLN HIGH SCHOOL,Fort Morgan,641,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
CAMPUS MIDDLE SCHOOL,Greenwood Village,642,6th Grade,Performance Plan,8th Grade,Performance Plan
PLATTE VALLEY ELEMENTARY SCHOOL,Kersey,643,Kindergarten,Performance Plan,5th Grade,Performance Plan
CENTRAL HIGH SCHOOL,Pueblo,644,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
DISCOVERY CANYON CAMPUS SCHOOL,Colorado Springs,645,Pre-Kindergarten,Performance Plan,11th Grade,Performance Plan
ARAPAHOE RIDGE ELEMENTARY SCHOOL,Westminster,646,Kindergarten,Performance Plan,5th Grade,Performance Plan
CHEROKEE TRAIL ELEMENTARY SCHOOL,Parker,647,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
WESTMINSTER HIGH SCHOOL,Westminster,648,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
GARDEN PARK HIGH SCHOOL,Canon City,649,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
NEW HORIZONS DAY SCHOOL,Colorado Springs,650,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
WEST MIDDLE SCHOOL,Greenwood Village,651,6th Grade,Performance Plan,8th Grade,Performance Plan
SOBESKY ACADEMY,Lakewood,652,Kindergarten,Alternative Ed. Campus,12th Grade,Improvement Plan
KINARD CORE KNOWLEDGE MIDDLE SCHOOL,Fort Collins,653,6th Grade,Performance Plan,8th Grade,Performance Plan
AURORA CENTRAL HIGH SCHOOL,Aurora,654,9th Grade,Turnaround Plan,12th Grade,Priority Improvement Plan
CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,Denver,655,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
FLORENCE CRITTENTON HIGH SCHOOL,Denver,656,6th Grade,Alternative Ed. Campus,12th Grade,Priority Improvement Plan
NEW AMERICA SCHOOL,Lakewood,657,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,Walden,658,6th Grade,Performance Plan,12th Grade,Performance Plan
AURORA FRONTIER K-8,Aurora,659,Kindergarten,Performance Plan,8th Grade,Performance Plan
AURORA FRONTIER K-8,Aurora,660,Kindergarten,Performance Plan,8th Grade,Performance Plan
BAYFIELD ELEMENTARY SCHOOL,Bayfield,661,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
COLOROW ELEMENTARY SCHOOL,Littleton,662,Kindergarten,Performance Plan,6th Grade,Performance Plan
CARBONDALE COMMUNITY CHARTER SCHOOL,Carbondale,663,Kindergarten,Performance Plan,8th Grade,Performance Plan
CARBONDALE COMMUNITY CHARTER SCHOOL,Carbondale,664,Kindergarten,Performance Plan,8th Grade,Performance Plan
MC LAIN HIGH SCHOOL,Lakewood,665,7th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
INSIGHT SCHOOL OF COLORADO AT JULESBURG,Julesburg,666,9th Grade,Turnaround Plan,12th Grade,Turnaround Plan
VANTAGE POINT,Northglenn,667,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
BRIGHTON HERITAGE ACADEMY,Brighton,668,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
THE BIJOU SCHOOL,Colorado Springs,669,10th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
WILLIAM (BILL) ROBERTS K-8 SCHOOL,Denver,670,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
WILLIAM (BILL) ROBERTS K-8 SCHOOL,Denver,671,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SUMMIT RIDGE MIDDLE SCHOOL,Littleton,672,7th Grade,Performance Plan,8th Grade,Performance Plan
KAPLAN ACADEMY OF COLORADO,Rifle,673,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
ADAMS CITY HIGH SCHOOL,Commerce City,674,9th Grade,Turnaround Plan,12th Grade,Turnaround Plan
LESTER R ARNOLD HIGH SCHOOL,Commerce City,675,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
DARTMOUTH ELEMENTARY SCHOOL,Aurora,676,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PINON VALLEY ELEMENTARY SCHOOL,Colorado Springs,677,Kindergarten,Performance Plan,6th Grade,Performance Plan
PIKES PEAK SCHOOL EXPEDITIONARY LEARNING,Falcon,678,Kindergarten,Performance Plan,8th Grade,Performance Plan
FREE HORIZON MONTESSORI CHARTER SCHOOL,Golden,679,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
JULESBURG ELEMENTARY SCHOOL,Julesburg,680,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SUMMIT COVE ELEMENTARY SCHOOL,Dillon,681,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
P.S.1 CHARTER SCHOOL,Denver,682,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
RED CANYON HIGH SCHOOL,Edwards,683,9th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
NEW AMERICA SCHOOL,Denver,684,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
LORRAINE SECONDARY SCHOOL,Fountain,685,6th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
HOPE ON-LINE,Englewood,686,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
COMMUNITY MONTESSORI SCHOOL,Boulder,687,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SOARING HAWK ELEMENTARY SCHOOL,Castle Rock,688,Kindergarten,Performance Plan,6th Grade,Performance Plan
RIVERVIEW ELEMENTARY SCHOOL,Durango,689,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MCAULIFFE ELEMENTARY SCHOOL,Greeley,690,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRADY EXPLORATION SCHOOL,Lakewood,691,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ESTES PARK MIDDLE SCHOOL,Estes Park,692,6th Grade,Performance Plan,8th Grade,Performance Plan
WINDSOR CHARTER ACADEMY,Windsor,693,Kindergarten,Performance Plan,8th Grade,Performance Plan
OLDE COLUMBINE HIGH SCHOOL,Longmont,695,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
ARAPAHOE RIDGE HIGH SCHOOL,Boulder,696,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
R-5 HIGH SCHOOL,Grand Junction,697,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
HIDDEN LAKE HIGH SCHOOL,Westminster,698,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
CREST VIEW ELEMENTARY SCHOOL,Boulder,699,Kindergarten,Performance Plan,5th Grade,Performance Plan
GUNNISON VALLEY SCHOOL,Gunnison,700,9th Grade,Turnaround Plan,12th Grade,Turnaround Plan
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,Wheat Ridge,701,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,Wheat Ridge,702,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
GOAL ACADEMY,Westminster,703,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
V.I.L.A.S. ONLINE SCHOOL,Vilas,704,Kindergarten,Turnaround Plan,12th Grade,Turnaround Plan
EAGLE COUNTY CHARTER ACADEMY,Edwards,705,Kindergarten,Performance Plan,8th Grade,Performance Plan
KEATING CONTINUING EDUCATION,Pueblo,706,3rd Grade,Alternative Ed. Campus,12th Grade,Turnaround Plan
WESTLAKE MIDDLE SCHOOL,Broomfield,707,6th Grade,Performance Plan,8th Grade,Performance Plan
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,Canon City,708,Kindergarten,Performance Plan,8th Grade,Performance Plan
MESA MIDDLE SCHOOL,Castle Rock,709,7th Grade,Performance Plan,8th Grade,Performance Plan
ANIMAS VALLEY ELEMENTARY SCHOOL,Durango,710,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PATRIOT LEARNING CENTER,Falcon,711,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
WEST JEFFERSON MIDDLE SCHOOL,Conifer,712,6th Grade,Performance Plan,8th Grade,Performance Plan
LIMON JUNIOR-SENIOR HIGH SCHOOL,Limon,713,6th Grade,Performance Plan,12th Grade,Performance Plan
LINTON ELEMENTARY SCHOOL,Fort Collins,714,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WESTVIEW MIDDLE SCHOOL,Longmont,715,6th Grade,Performance Plan,8th Grade,Performance Plan
WRAY ELEMENTARY SCHOOL,Wray,716,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
POUDRE TRANSITION CENTER,Fort Collins,717,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
JUSTICE HIGH CHARTER SCHOOL,Lafayette,718,6th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
SOUTHWEST OPEN CHARTER SCHOOL,Cortez,719,9th Grade,Alternative Ed. Campus,12th Grade,Improvement Plan
YAMPAH MOUNTAIN SCHOOL,Glenwood Springs,720,6th Grade,Turnaround Plan,12th Grade,Turnaround Plan
ANTELOPE TRAILS ELEMENTARY SCHOOL,Colorado Springs,721,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STONE CREEK SCHOOL,Avon,722,Kindergarten,Performance Plan,8th Grade,Performance Plan
STONE CREEK SCHOOL,Avon,723,Kindergarten,Performance Plan,8th Grade,Performance Plan
EAGLE COUNTY CHARTER ACADEMY,Edwards,724,Kindergarten,Performance Plan,8th Grade,Performance Plan
FORCE ELEMENTARY SCHOOL,Denver,725,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GLENNON HEIGHTS ELEMENTARY SCHOOL,Lakewood,726,Kindergarten,Performance Plan,6th Grade,Performance Plan
LEWIS-PALMER MIDDLE SCHOOL,Monument,727,6th Grade,Performance Plan,8th Grade,Performance Plan
FITZSIMMONS MIDDLE SCHOOL,Bailey,728,6th Grade,Performance Plan,8th Grade,Performance Plan
